simulation_id,network_size,seed_size,periods,simulation_period,state_count_stop,state_count_waiting,state_count_read,state_count_shared
3,10000,100,25,17,100,0,5515,4385
3,10000,100,25,18,100,0,5298,4602
3,10000,100,25,19,100,0,5123,4777
3,10000,100,25,20,100,0,4937,4963
3,10000,100,25,21,100,0,4772,5128
3,10000,100,25,22,100,0,4599,5301
3,10000,100,25,23,100,0,4456,5444
3,10000,100,25,24,100,0,4308,5592
3,10000,100,25,25,100,0,4155,5745
3,10000,100,25,25,100,0,4155,5745
4,10000,100,25,0,100,9900,0,0
4,10000,100,25,1,100,4939,4961,0
4,10000,100,25,2,100,2201,7506,193
4,10000,100,25,3,100,956,8466,478
4,10000,100,25,4,100,417,8659,824
4,10000,100,25,5,100,178,8559,1163
4,10000,100,25,6,100,80,8297,1523
4,10000,100,25,7,100,35,8017,1848
4,10000,100,25,8,100,15,7693,2192
4,10000,100,25,9,100,6,7416,2478
4,10000,100,25,10,100,6,7179,2715
4,10000,100,25,11,100,1,6945,2954
4,10000,100,25,12,100,0,6667,3233
4,10000,100,25,13,100,0,6425,3475
4,10000,100,25,14,100,0,6203,3697
4,10000,100,25,15,100,0,5995,3905
4,10000,100,25,16,100,0,5808,4092
4,10000,100,25,17,100,0,5580,4320
4,10000,100,25,18,100,0,5393,4507
4,10000,100,25,19,100,0,5234,4666
4,10000,100,25,20,100,0,5046,4854
4,10000,100,25,21,100,0,4892,5008
4,10000,100,25,22,100,0,4741,5159
4,10000,100,25,23,100,0,4572,5328
4,10000,100,25,24,100,0,4385,5515
4,10000,100,25,25,100,0,4243,5657
4,10000,100,25,25,100,0,4243,5657
5,10000,100,25,0,100,9900,0,0
5,10000,100,25,1,100,4958,4942,0
5,10000,100,25,2,100,2254,7450,196
5,10000,100,25,3,100,946,8483,471
5,10000,100,25,4,100,388,8675,837
5,10000,100,25,5,100,174,8521,1205
5,10000,100,25,6,100,89,8285,1526
5,10000,100,25,7,100,37,8022,1841
5,10000,100,25,8,100,16,7726,2158
5,10000,100,25,9,100,9,7415,2476
5,10000,100,25,10,100,5,7128,2767
5,10000,100,25,11,100,2,6900,2998
5,10000,100,25,12,100,2,6649,3249
5,10000,100,25,13,100,1,6408,3491
5,10000,100,25,14,100,0,6190,3710
5,10000,100,25,15,100,0,5969,3931
5,10000,100,25,16,100,0,5759,4141
5,10000,100,25,17,100,0,5537,4363
5,10000,100,25,18,100,0,5357,4543
5,10000,100,25,19,100,0,5150,4750
5,10000,100,25,20,100,0,4992,4908
5,10000,100,25,21,100,0,4804,5096
5,10000,100,25,22,100,0,4645,5255
5,10000,100,25,23,100,0,4471,5429
5,10000,100,25,24,100,0,4300,5600
5,10000,100,25,25,100,0,4171,5729
5,10000,100,25,25,100,0,4171,5729
6,10000,100,25,0,100,9900,0,0
6,10000,100,25,1,100,4925,4975,0
6,10000,100,25,2,100,2314,7422,164
6,10000,100,25,3,100,1009,8451,440
6,10000,100,25,4,100,431,8705,764
6,10000,100,25,5,100,155,8579,1166
6,10000,100,25,6,100,62,8356,1482
6,10000,100,25,7,100,26,8034,1840
6,10000,100,25,8,100,11,7708,2181
6,10000,100,25,9,100,4,7442,2454
6,10000,100,25,10,100,2,7143,2755
6,10000,100,25,11,100,0,6869,3031
6,10000,100,25,12,100,0,6609,3291
6,10000,100,25,13,100,0,6371,3529
6,10000,100,25,14,100,0,6065,3835
6,10000,100,25,15,100,0,5835,4065
6,10000,100,25,16,100,0,5621,4279
6,10000,100,25,17,100,0,5432,4468
6,10000,100,25,18,100,0,5235,4665
6,10000,100,25,19,100,0,5059,4841
6,10000,100,25,20,100,0,4890,5010
6,10000,100,25,21,100,0,4746,5154
6,10000,100,25,22,100,0,4600,5300
6,10000,100,25,23,100,0,4450,5450
6,10000,100,25,24,100,0,4300,5600
6,10000,100,25,25,100,0,4177,5723
6,10000,100,25,25,100,0,4177,5723
7,10000,100,25,0,100,9900,0,0
7,10000,100,25,1,100,4898,5002,0
7,10000,100,25,2,100,2196,7509,195
7,10000,100,25,3,100,932,8457,511
7,10000,100,25,4,100,393,8641,866
7,10000,100,25,5,100,172,8537,1191
7,10000,100,25,6,100,69,8282,1549
7,10000,100,25,7,100,19,8022,1859
7,10000,100,25,8,100,5,7729,2166
7,10000,100,25,9,100,2,7430,2468
7,10000,100,25,10,100,2,7156,2742
7,10000,100,25,11,100,2,6830,3068
7,10000,100,25,12,100,1,6573,3326
7,10000,100,25,13,100,1,6313,3586
7,10000,100,25,14,100,0,6100,3800
7,10000,100,25,15,100,0,5862,4038
7,10000,100,25,16,100,0,5649,4251
7,10000,100,25,17,100,0,5431,4469
7,10000,100,25,18,100,0,5252,4648
7,10000,100,25,19,100,0,5066,4834
7,10000,100,25,20,100,0,4879,5021
7,10000,100,25,21,100,0,4722,5178
7,10000,100,25,22,100,0,4539,5361
7,10000,100,25,23,100,0,4391,5509
7,10000,100,25,24,100,0,4211,5689
7,10000,100,25,25,100,0,4074,5826
7,10000,100,25,25,100,0,4074,5826
8,10000,100,25,0,100,9900,0,0
